"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 07- 01","1,110.89","1,152.34","1,169.30","1,110.78","","-3.48%"
"2016- 06- 01","1,150.99","1,189.74","1,196.15","1,140.67","","-3.15%"
"2016- 05- 01","1,188.39","1,145.10","1,194.58","1,132.83","","3.90%"
"2016- 04- 01","1,143.83","1,144.97","1,163.60","1,124.09","","-0.01%"
"2016- 03- 01","1,143.97","1,238.24","1,239.49","1,134.59","","-7.54%"
"2016- 02- 01","1,237.24","1,208.11","1,246.00","1,181.12","","2.50%"
"2016- 01- 01","1,207.11","1,175.94","1,221.42","1,175.09","","2.74%"
"2015- 12- 01","1,174.95","1,160.59","1,192.05","1,152.02","","1.32%"
"2015- 11- 01","1,159.61","1,140.66","1,175.78","1,127.15","","1.71%"
"2015- 10- 01","1,140.16","1,185.28","1,185.88","1,119.34","","-3.74%"
"2015- 09- 01","1,184.44","1,182.97","1,209.18","1,158.06","","0.22%"
"2015- 08- 01","1,181.82","1,167.15","1,208.37","1,155.69","","1.39%"
"2015- 07- 01","1,165.67","1,119.41","1,175.14","1,115.14","","4.17%"
"2015- 06- 01","1,119.03","1,113.35","1,128.40","1,097.40","","0.63%"
"2015- 05- 01","1,112.01","1,077.34","1,115.54","1,075.86","","3.31%"
"2015- 04- 01","1,076.34","1,108.99","1,109.50","1,063.30","","-2.86%"
"2015- 03- 01","1,107.99","1,102.05","1,139.11","1,094.29","","0.68%"
"2015- 02- 01","1,100.53","1,101.15","1,116.15","1,083.66","","-0.08%"
"2015- 01- 01","1,101.40","1,093.90","1,112.12","1,073.31","","0.78%"
"2014- 12- 01","1,092.90","1,113.29","1,122.42","1,078.70","","-1.76%"
"2014- 11- 01","1,112.45","1,078.62","1,117.96","1,071.80","","3.72%"
"2014- 10- 01","1,072.60","1,057.55","1,076.35","1,044.29","","1.71%"
"2014- 09- 01","1,054.55","1,014.15","1,057.55","1,012.15","","4.01%"
"2014- 08- 01","1,013.85","1,032.45","1,041.40","1,012.90","","-1.35%"
"2014- 07- 01","1,027.75","1,011.75","1,036.50","1,008.25","","1.61%"
"2014- 06- 01","1,011.50","1,020.90","1,026.25","1,010.80","","-0.86%"
"2014- 05- 01","1,020.30","1,031.10","1,032.65","1,018.35","","-1.21%"
"2014- 04- 01","1,032.75","1,061.80","1,062.50","1,030.08","","-3.00%"
"2014- 03- 01","1,064.65","1,073.40","1,083.10","1,060.05","","-0.13%"
"2014- 02- 01","1,066.01","1,080.55","1,089.85","1,058.20","","-1.33%"
"2014- 01- 01","1,080.36","1,051.50","1,087.70","1,048.35","","2.94%"
"2013- 12- 01","1,049.50","1,058.21","1,064.45","1,046.09","","-0.78%"
"2013- 11- 01","1,057.76","1,061.28","1,074.40","1,054.70","","-0.29%"
"2013- 10- 01","1,060.83","1,074.53","1,077.00","1,054.28","","-1.19%"
"2013- 09- 01","1,073.58","1,110.02","1,110.02","1,070.25","","-3.23%"
"2013- 08- 01","1,109.42","1,123.70","1,127.72","1,107.50","","-1.23%"
"2013- 07- 01","1,123.25","1,142.40","1,152.82","1,108.47","","-1.59%"
"2013- 06- 01","1,141.45","1,131.26","1,163.59","1,107.20","","0.97%"
"2013- 05- 01","1,130.51","1,101.61","1,133.95","1,082.45","","2.67%"
"2013- 04- 01","1,101.16","1,111.35","1,145.10","1,100.25","","-0.89%"
"2013- 03- 01","1,111.05","1,084.35","1,120.10","1,082.13","","2.50%"
"2013- 02- 01","1,083.90","1,088.26","1,098.47","1,076.18","","-0.31%"
"2013- 01- 01","1,087.31","1,066.25","1,093.90","1,054.47","","2.26%"
